Dinner Suggestion,Count
Salmon with roasted vegetables,175
Turkey chili with brown rice,151
Lentil and vegetable curry,151
Pasta with marinara sauce and veggies,147
Vegetable stir-fry with brown rice,143
Pasta with marinara sauce,110
Baked salmon with veggies,107
Tofu and quinoa bowl,102
Beef and broccoli stir-fry,93
Vegetable curry,88
Chicken stir-fry with brown rice,19
Vegetarian chili with brown rice,17
Salmon with roasted vegetables and quinoa,16
Lentil stew with brown rice,15
Chickpea curry with brown rice,12
Tofu stir-fry with brown rice,12
Lentil soup with whole-wheat bread,11
Black bean burgers with sweet potato fries,11
Chicken breast with roasted vegetables,10
Lentil and vegetable curry with brown rice,10
Vegetable curry with brown rice,10
Steak with sweet potato and green beans,8
Chickpea and vegetable curry with brown rice,8
Steak with sweet potato fries,7
Vegan chili with brown rice,7
Black bean burgers on whole-wheat buns,6
Tofu stir-fry with brown rice and vegetables,6
Steak with sweet potato and asparagus,5
Beef stir-fry with brown rice,5
Steak with roasted vegetables,5
Grilled salmon with roasted vegetables,5
Grilled chicken with roasted vegetables,5
Steak with sweet potato and broccoli,5
Lentil and vegetable stew,4
Salmon with roasted vegetables and brown rice,4
Tuna salad sandwich on whole-wheat bread,4
Chicken breast with steamed vegetables,4
Vegetable stir-fry with tofu,4
Lentil soup with whole-grain bread,4
Lentil pasta with tomato sauce,3
Black Bean Burgers on Whole Wheat Buns,3
Lentil pasta with vegetables,3
Tofu and vegetable stir-fry with brown rice,3
Chickpea pasta with marinara sauce,3
Lentil Soup with Whole Wheat Bread,3
Lentil soup with whole wheat bread,3
Chickpea and vegetable stew,3
Lentil stew with whole-wheat bread,3
Chickpea pasta with tomato sauce and vegetables,3
Vegan pasta with marinara sauce and a side salad,2
Tofu and vegetable stir-fry,2
Lentil soup with whole grain bread,2
Lentil stew with vegetables and brown rice,2
Chickpea pasta with tomato sauce and spinach,2
Black bean burgers on wholegrain buns,2
Tempeh stir-fry with brown rice,2
Baked chicken with roasted vegetables,2
Lentil pasta with tomato sauce and vegetables,2
Baked chicken with sweet potato and green beans,2
Chickpea pasta with marinara sauce and vegetables,2
Vegan stir-fry with brown rice,2
Lentil and vegetable stew with whole-wheat bread,2
Chickpea pasta with vegetable sauce,2
Lentil stew with whole-grain bread,2
Chicken breast with steamed vegetables and brown rice,2
Lentil stew with whole wheat bread,2
Chicken breast with sweet potato and broccoli,2
Steak with sweet potato fries and a side salad,2
Salmon with Roasted Sweet Potatoes,2
Steak with baked potato and green beans,2
Steak with baked potato and broccoli,2
Vegetable stir-fry with tofu and brown rice,2
Chicken breast with brown rice and vegetables,2
Salmon with roasted sweet potatoes,2
Salmon with sweet potato and broccoli,2
Steak with mashed potatoes and green beans,2
Chicken and vegetable stir-fry with brown rice,2
Salmon with roasted sweet potatoes and broccoli,2
Vegan chili,2
Quinoa salad with roasted vegetables,2
Lentil and vegetable stew with brown rice,2
Lentil pasta with marinara sauce,2
Chickpea and vegetable curry,2
Baked fish with steamed vegetables,1
Steak with baked potato,1
Vegetarian chili,1
Salmon with quinoa and steamed broccoli,1
Vegan burgers with sweet potato fries,1
Steak with quinoa and steamed broccoli,1
Bean and vegetable stir-fry with brown rice,1
Chicken breast with baked potato,1
Turkey chili with cornbread,1
Chicken breast with broccoli and sweet potato,1
Black bean burger with sweet potato fries,1
Lentil and vegetable stew with whole wheat bread,1
Chicken and vegetable stir-fry,1
Fish with roasted vegetables and quinoa,1
Vegan pizza with vegetables and cashew cheese,1
Quinoa salad with grilled vegetables,1
Vegan lasagna,1
Bean and vegetable burrito,1
Chicken breast with quinoa and vegetables,1
Lentil pasta with vegan pesto sauce,1
Chicken Stir-Fry with Brown Rice,1
Lentil and vegetable soup with whole grain bread,1
Lentil stew with whole grain bread,1
Vegan chili with whole grain bread,1
Bean burrito with brown rice,1
Chickpea pasta with tomato sauce,1
Vegan pasta with marinara sauce and vegetables,1
Vegetarian lasagna with a side salad,1
Lentil loaf with roasted vegetables,1
Turkey chili with whole-wheat bread,1
Vegetable stir-fry with quinoa,1
Grilled Steak with Sweet Potato Fries,1
Steak with sweet potato fries and mixed greens,1
Black bean burgers with brown rice and roasted vegetables,1
Bean burgers with sweet potato fries,1
Beef with sweet potato and green beans,1
Turkey chili with whole grain bread,1
Salmon with asparagus and sweet potato,1
Turkey meatballs with spaghetti squash,1
Vegan pasta with vegetables and cashew cream sauce,1
Vegetarian chili with cornbread,1
Beef and vegetable skewers with sweet potato fries,1
Lentil and vegetable curry with rice,1
Tofu stir-fry with vegetables,1
Black bean burger on whole-wheat bun with avocado,1
Quinoa bowl with roasted vegetables and chickpeas,1
Turkey chili with sweet potato,1
Quinoa bowl with roasted chickpeas and vegetables,1
Chicken breast with roasted vegetables and sweet potato,1
Lentil and vegetable soup with whole-wheat bread,1
Salmon with steamed vegetables,1
Chickpea and vegetable pasta,1
Beef stew with whole grain bread,1
Vegetarian lasagna with salad,1
Tuna with quinoa and roasted vegetables,1
Fish with roasted vegetables,1
Vegan pasta with marinara sauce,1
Beef stew with brown rice,1
Turkey meatballs with steamed vegetables,1
Black bean burgers with salad,1
Tofu stir-fry with brown rice noodles,1
Vegan pasta with vegetables and tomato sauce,1
Chicken breast with sweet potato and green beans,1
Vegan pasta with vegetables and sauce,1
Vegan chili with cornbread,1
Quinoa and vegetable bowl,1
Chickpea and vegetable pasta bake,1
Black bean burgers with avocado,1
Chicken breast with vegetables,1
Grilled chicken breast with quinoa and steamed vegetables,1
Roast beef with mashed potatoes and peas,1
Chicken breast with roasted vegetables and quinoa,1
Salmon with quinoa and steamed vegetables,1
Vegetable lasagna with salad,1
Steak with baked potato and salad,1
Grilled chicken salad with quinoa,1
Quinoa salad with grilled chicken,1
Salmon with vegetables,1
Vegan lentil stew,1
Black bean soup with whole-grain bread,1
Chicken stir fry with brown rice and vegetables,1
Steak with roasted vegetables and sweet potato,1
Tuna salad with whole-wheat bread,1
Steak with sweet potatoes and broccoli,1
Grilled chicken with sweet potato and broccoli,1
Vegan black bean burgers on whole wheat buns,1
Grilled salmon with quinoa and roasted vegetables,1
Steak with roasted vegetables and brown rice,1
Turkey meatballs with whole-wheat pasta,1
Fish with steamed broccoli,1
Vegetable frittata,1
Lentil soup with a side of whole-wheat bread,1
Black bean burgers with roasted sweet potatoes and a green salad,1
Salmon with roasted vegetables and sweet potato,1
